State,County,Latitude,Longitude,AQI
New Mexico,Luna,32.1822,-107.7498,22
New Mexico,Rio Arriba,36.5096,-106.6932,43
New Mexico,San Juan,36.5085,-108.3206,50
New Mexico,Sandoval,35.6886,-106.8659,45
New Mexico,Santa Fe,35.5069,-105.9763,45
New Mexico,Taos,36.5783,-105.631,19
New Mexico,Valencia,34.7155,-106.809,44
New York,Albany,42.6002,-73.9736,38
New York,Bronx,40.8501,-73.866,42
New York,Chautauqua,42.2281,-79.3663,39
New York,Dutchess,41.7652,-73.7429,38
New York,Erie,42.764,-78.7323,39
New York,Essex,44.1172,-73.7726,41
New York,Hamilton,43.6611,-74.4974,36
New York,Jefferson,44.0495,-75.921,34
New York,Kings,40.6395,-73.9385,31
New York,Monroe,43.1464,-77.6961,38
New York,Nassau,40.7328,-73.5865,20
New York,New York,40.7785,-73.9674,41
New York,Niagara,43.2001,-78.7452,37
New York,Oneida,43.2418,-75.4358,18
New York,Onondaga,43.0058,-76.1946,36
New York,Orange,41.4022,-74.3056,35
New York,Oswego,43.4269,-76.1413,35
New York,Putnam,41.4267,-73.7495,37
New York,Queens,40.7023,-73.8203,42
New York,Richmond,40.5808,-74.1524,38
New York,Rockland,41.1525,-74.0242,38
New York,Saratoga,43.1074,-73.8639,35
New York,Steuben,42.2678,-77.3838,37
New York,Suffolk,40.8686,-72.8448,42
New York,Tompkins,42.452,-76.4736,39
New York,Wayne,43.1566,-77.0294,35
New York,Westchester,41.1624,-73.7561,38
North Carolina,Alexander,35.921,-81.177,40
North Carolina,Avery,36.0765,-81.9226,39
North Carolina,Buncombe,35.6112,-82.5301,37
North Carolina,Caldwell,35.953,-81.5464,40
North Carolina,Carteret,34.8357,-76.6589,38
North Carolina,Caswell,36.3932,-79.3335,40
North Carolina,Catawba,35.662,-81.2151,35
North Carolina,Cumberland,35.0487,-78.8277,41
North Carolina,Davidson,35.7933,-80.2128,35
North Carolina,Durham,36.036,-78.8766,40
North Carolina,Edgecombe,35.9129,-77.5971,38
North Carolina,Forsyth,36.1306,-80.2563,44
North Carolina,Graham,35.3502,-83.8335,43
North Carolina,Granville,36.304,-78.6527,42
North Carolina,Guilford,36.0795,-79.7889,43
North Carolina,Haywood,35.556,-82.9822,44
North Carolina,Johnston,35.5178,-78.3657,39
North Carolina,Lenoir,35.2388,-77.6412,39
North Carolina,Lincoln,35.4856,-81.2235,44
North Carolina,Macon,35.1505,-83.4222,33
North Carolina,Martin,35.8432,-77.1092,35
North Carolina,Mecklenburg,35.2467,-80.8328,44
North Carolina,Mitchell,36.0133,-82.1636,24
North Carolina,Montgomery,35.3325,-79.9055,38
North Carolina,New Hanover,34.2328,-77.8847,36
North Carolina,Northampton,36.4178,-77.3969,19
North Carolina,Person,36.39,-78.9718,41
North Carolina,Pitt,35.5933,-77.3745,37
North Carolina,Rockingham,36.396,-79.775,42
North Carolina,Rowan,35.6394,-80.5247,44
North Carolina,Swain,35.4868,-83.4928,35
North Carolina,Union,34.9884,-80.5307,42
North Carolina,Wake,35.7903,-78.6503,42
North Carolina,Yancey,35.8989,-82.3076,44
North Dakota,Billings,47.0236,-103.3763,38
North Dakota,Burke,48.791,-102.5182,39
North Dakota,Burleigh,46.9774,-100.4687,32
North Dakota,Cass,46.933,-97.248,37
North Dakota,Dunn,47.3568,-102.6182,37
North Dakota,McKenzie,47.7402,-103.3953,35
North Dakota,Mercer,47.3092,-101.8315,35
North Dakota,Oliver,47.1153,-101.3403,39
North Dakota,Ward,48.2217,-101.5418,37
Ohio,Allen,40.7715,-84.1058,40
Ohio,Ashtabula,41.7074,-80.7483,40
Ohio,Athens,39.3339,-82.0452,23
Ohio,Belmont,40.0158,-80.9885,15
Ohio,Butler,39.4386,-84.5756,46
Ohio,Clark,39.9168,-83.7838,42
